state,zipcode,total_pop,total_income,country,avg_income
NY,12953,4760,248267,USA,52156.93277310924
NY,12955,170,7383,USA,43429.41176470588
NY,12956,530,24492,USA,46211.32075471698
NY,12957,690,29634,USA,42947.82608695652
NY,12958,870,45176,USA,51926.4367816092
NY,12959,610,29733,USA,48742.62295081967
NY,12960,520,27097,USA,52109.61538461538
NY,12961,110,5450,USA,49545.454545454544
NY,12962,2660,173293,USA,65147.74436090226
NY,12965,240,10701,USA,44587.5
NY,12966,1250,57717,USA,46173.6
NY,12967,460,21714,USA,47204.34782608696
NY,12969,170,9011,USA,53005.882352941175
NY,12970,170,8134,USA,47847.05882352941
NY,12972,3100,200626,USA,64718.06451612903
NY,12974,660,31372,USA,47533.333333333336
NY,12978,180,9170,USA,50944.444444444445
NY,12979,1210,68519,USA,56627.27272727273
NY,12980,560,25407,USA,45369.642857142855
NY,12981,1100,63522,USA,57747.27272727273
NY,12983,3550,227442,USA,64068.16901408451
NY,12985,470,22307,USA,47461.70212765958
NY,12986,2630,146885,USA,55849.80988593156
NY,12987,120,6287,USA,52391.666666666664
NY,12989,450,26981,USA,59957.77777777778
NY,12992,2380,124698,USA,52394.117647058825
NY,12993,770,45140,USA,58623.37662337662
NY,12996,930,52143,USA,56067.74193548387
NY,12997,620,33670,USA,54306.45161290323
NY,12998,220,8757,USA,39804.545454545456
NY,13021,18360,1067007,USA,58115.84967320261
NY,13026,590,40319,USA,68337.28813559322
NY,13027,17320,1347038,USA,77773.55658198614
NY,13028,590,31591,USA,53544.06779661017
NY,13029,3610,281962,USA,78105.81717451524
NY,13030,2010,132536,USA,65938.30845771145
NY,13031,8730,641344,USA,73464.37571592211
NY,13032,5950,325691,USA,54737.98319327731
NY,13033,1740,95159,USA,54689.08045977011
NY,13034,850,52089,USA,61281.17647058824
NY,13035,3830,454717,USA,118725.06527415144
NY,13036,4240,237460,USA,56004.71698113208
NY,13037,4460,292543,USA,65592.60089686098
NY,13039,9080,685635,USA,75510.46255506609
NY,13040,1180,57389,USA,48634.745762711864
NY,13041,5880,421597,USA,71700.1700680272
NY,13042,1030,54608,USA,53017.47572815534
NY,13044,1200,76593,USA,63827.5
NY,13045,11290,636297,USA,56359.34455270151
NY,13052,840,45643,USA,54336.90476190476
NY,13053,2120,132349,USA,62428.77358490566
NY,13054,710,37568,USA,52912.67605633803
NY,13057,7830,473041,USA,60413.92081736909
NY,13060,1380,81026,USA,58714.492753623184
NY,13061,480,36392,USA,75816.66666666667
NY,13063,870,64242,USA,73841.37931034483
NY,13066,6670,939444,USA,140846.17691154423
NY,13068,2580,154419,USA,59852.32558139535
NY,13069,10710,531662,USA,49641.643323996264
NY,13071,450,23438,USA,52084.444444444445
NY,13072,340,15650,USA,46029.41176470588
NY,13073,3000,168846,USA,56282
NY,13074,1840,92110,USA,50059.78260869565
NY,13076,1100,64348,USA,58498.181818181816
NY,13077,3300,193180,USA,58539.393939393936
NY,13078,4620,740315,USA,160241.341991342
NY,13080,1670,102083,USA,61127.54491017964
NY,13081,490,34735,USA,70887.75510204081
NY,13082,2330,131448,USA,56415.45064377682
NY,13083,790,42780,USA,54151.898734177215
NY,13084,2240,162740,USA,72651.78571428571
NY,13088,12060,705062,USA,58462.85240464345
NY,13090,15850,1043564,USA,65840
NY,13092,1140,60135,USA,52750
NY,13101,1210,58241,USA,48133.05785123967
NY,13103,150,5649,USA,37660
NY,13104,7750,1111712,USA,143446.70967741936
NY,13108,3110,246657,USA,79310.93247588424
NY,13110,1160,86482,USA,74553.44827586207
NY,13111,710,31951,USA,45001.40845070423
NY,13112,940,61716,USA,65655.31914893616
NY,13114,3010,175968,USA,58461.12956810631
NY,13116,1770,109479,USA,61852.542372881355
NY,13118,2400,131154,USA,54647.5
NY,13120,1070,50478,USA,47175.700934579436
NY,13122,510,33712,USA,66101.96078431372
NY,13126,14340,843347,USA,58810.80892608089
NY,13131,1770,91835,USA,51884.180790960454
